"Gezondheid en zorggebruik; geslacht, leeftijd, persoonskenmerken"
"Perioden: 2022/2023"
"Marges: Waarde"
"";"";"";"Onderwerp"
"";"";"";"Mental Health Inventory (MHI-5),12  plus|Angst- of depressiegevoelens, afg 4 wk "
"Geslacht";"Leeftijd";"Kenmerken van personen";"%"
"Totaal mannen en vrouwen";"25 tot 45 jaar";"Herkomstland: Nederland";"43,5"
"Totaal mannen en vrouwen";"25 tot 45 jaar";"Herkomstland: Europa (excl. Nederland)";"57,1"
"Totaal mannen en vrouwen";"25 tot 45 jaar";"Herkomstland: Buiten Europa ";"54,3"
"Totaal mannen en vrouwen";"45 tot 65 jaar";"Herkomstland: Nederland";"37,2"
"Totaal mannen en vrouwen";"45 tot 65 jaar";"Herkomstland: Europa (excl. Nederland)";"52,8"
"Totaal mannen en vrouwen";"45 tot 65 jaar";"Herkomstland: Buiten Europa ";"53,5"
"Totaal mannen en vrouwen";"65 jaar of ouder";"Herkomstland: Nederland";"37,1"
"Totaal mannen en vrouwen";"65 jaar of ouder";"Herkomstland: Europa (excl. Nederland)";"38,0"
"Totaal mannen en vrouwen";"65 jaar of ouder";"Herkomstland: Buiten Europa ";"42,4"
"Mannen";"25 tot 45 jaar";"Herkomstland: Nederland";"40,1"
"Mannen";"25 tot 45 jaar";"Herkomstland: Europa (excl. Nederland)";"56,1"
"Mannen";"25 tot 45 jaar";"Herkomstland: Buiten Europa ";"52,1"
"Mannen";"45 tot 65 jaar";"Herkomstland: Nederland";"32,3"
"Mannen";"45 tot 65 jaar";"Herkomstland: Europa (excl. Nederland)";"41,7"
"Mannen";"45 tot 65 jaar";"Herkomstland: Buiten Europa ";"50,9"
"Mannen";"65 jaar of ouder";"Herkomstland: Nederland";"31,0"
"Mannen";"65 jaar of ouder";"Herkomstland: Europa (excl. Nederland)";"27,2"
"Mannen";"65 jaar of ouder";"Herkomstland: Buiten Europa ";"34,3"
"Vrouwen";"25 tot 45 jaar";"Herkomstland: Nederland";"47,0"
"Vrouwen";"25 tot 45 jaar";"Herkomstland: Europa (excl. Nederland)";"58,2"
"Vrouwen";"25 tot 45 jaar";"Herkomstland: Buiten Europa ";"56,4"
"Vrouwen";"45 tot 65 jaar";"Herkomstland: Nederland";"42,3"
"Vrouwen";"45 tot 65 jaar";"Herkomstland: Europa (excl. Nederland)";"61,3"
"Vrouwen";"45 tot 65 jaar";"Herkomstland: Buiten Europa ";"55,9"
"Vrouwen";"65 jaar of ouder";"Herkomstland: Nederland";"42,5"
"Vrouwen";"65 jaar of ouder";"Herkomstland: Europa (excl. Nederland)";"46,8"
"Vrouwen";"65 jaar of ouder";"Herkomstland: Buiten Europa ";"51,1"
"Bron: CBS"
