# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

PTID,Age,Sex,CountryOfBirthMother,CountryOfBirthFather,CountryOfBirth,Ethnicity,Nationality,Religion,Gender,TIPI_Extraversion,TIPI_Agreeableness,TIPI_Conscientiousness,TIPI_Neuroticism,TIPI_Openness,EducationLevel,EmploymentStatus,Postcode,PANCRS_Affirmation,PANCRS_ProblemSolving,PANCRS_EnhancingFriendship,PANCRS_TotalPositive,PANCRS_WorryAboutEvaluation,PANCRS_InhibitingHappiness,PANCRS_WorryAboutImpact,PANCRS_Slack,PANCRS_TotalNegative,PANCRS_FrequencyPositive,PANCRS_FrequencyNegative,PANCRS_TotalFrequency,PHQ9_q1,PHQ9_q2,PHQ9_q3,PHQ9_q4,PHQ9_q5,PHQ9_q6,PHQ9_q7,PHQ9_q8,PHQ9_q9,PHQ9_Total,WC0402,28,Man,Turkije,Turkije,Nederland,Turks,Nederlands,Islam,Man,3.5,4.1,3.8,4.5,5.3,Universiteit (Bachelor, Master, of hoger),Betaalde baan (fulltime),1091GR,3.5,3.1,3.4,3.3,3.4,3.1,3.5,2.9,3.2,3.4,3.1,3.3,1,2,2,1,1,2,1,1,0,11
WC0001,34,Vrouw,Nederland,Nederland,Nederland,Nederlands,Nederlands,Geen religie,Vrouw,2.8,4.9,5.2,5.1,4.8,HBO,Gedeeltelijk betaalde baan (parttime),1054XW,3.9,3.5,3.7,3.7,3.8,3.5,3.9,3.3,3.6,3.8,3.4,3.6,2,2,1,2,1,2,2,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0002,28,Man,Turkije,Turkije,Nederland,Turks,Nederlands,Islam,Man,3.5,4.1,3.8,4.5,5.3,"Universiteit (Bachelor, Master, of hoger)",Betaalde baan (fulltime),1091GR,3.5,3.1,3.4,3.3,3.4,3.1,3.5,2.9,3.2,3.4,3.1,3.3,1,2,2,1,1,2,1,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0003,45,Vrouw,Nederland,Nederland,Nederland,Nederlands,Nederlands,Christendom,Vrouw,2.4,5.3,6.1,5.8,4.2,Mbo (niveau 1-4),Zorg voor het huishouden (eventueel kinderen),1068BC,4.2,3.8,4.1,4.0,4.2,3.9,4.3,3.7,4.0,4.1,3.8,4.0,2,2,2,2,1,3,2,1,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0004,22,Man,Nederland,Suriname,Nederland,Surinaams,Nederlands,Geen religie,Man,4.8,4.5,4.2,3.2,6.1,"Scholier of student, naam opleiding: …","Scholier of student, naam opleiding: …",1012NP,4.1,3.9,4.0,4.0,2.5,2.2,2.6,2.1,2.4,4.0,2.3,3.2,1,1,1,1,0,1,1,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0005,52,Man,Nederland,Nederland,Nederland,Nederlands,Nederlands,Agnostisch,Man,3.1,3.9,4.5,6.2,3.9,Havo/Vwo,Gedeeltelijk / geen betaald werk vanwege gezondheidsproblemen,1102LD,3.2,2.8,3.0,3.0,4.5,4.2,4.6,4.1,4.4,3.1,4.2,3.7,2,3,2,3,1,2,2,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0006,67,Vrouw,Nederland,Nederland,Nederland,Nederlands,Nederlands,Christendom,Vrouw,3.9,5.8,5.9,2.9,5.1,Basisonderwijs,Gepensioneerd of met prepensioen,1024VG,4.5,4.1,4.3,4.3,2.2,1.9,2.4,1.8,2.1,4.3,2.0,3.2,1,1,0,1,1,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0007,31,Vrouw,Marokko,Marokko,Nederland,Marokkaans,Nederlands,Islam,Vrouw,3.6,4.6,4.1,4.8,4.9,HBO,Betaalde baan (fulltime),1061AS,3.8,3.4,3.6,3.6,3.6,3.3,3.7,3.1,3.4,3.7,3.3,3.5,2,2,1,2,0,2,1,1,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0008,25,Man,Duitsland,Nederland,Nederland,Nederlands,Nederlands,Geen religie,Man,4.2,4.3,3.9,3.8,5.8,"Universiteit (Bachelor, Master, of hoger)","Scholier of student, naam opleiding: …",1018EV,3.9,3.6,3.8,3.8,2.9,2.6,3.0,2.4,2.7,3.8,2.6,3.2,1,1,1,2,1,1,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0009,41,Vrouw,Nederland,Nederland,Nederland,Nederlands,Nederlands,Ik wil het liever niet zeggen,Vrouw,2.9,4.2,4.8,5.5,4.4,Mbo (niveau 1-4),Geen betaald werk om andere redenen (bv. vanwege onvrijwillige werkloosheid of vrijwilligerswerk),1057DJ,3.4,3.0,3.2,3.2,4.0,3.7,4.1,3.5,3.8,3.3,3.7,3.5,2,2,2,2,1,2,2,1,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC0010,20,Vrouw,Polen,Polen,Polen,Anders (specificeer): Pools,Pools,Christendom,Vrouw,4.5,5.1,4.7,3.5,5.5,"Scholier of student, naam opleiding: …","Scholier of student, naam opleiding: …",1072PA,4.3,4.0,4.2,4.2,2.7,2.4,2.8,2.2,2.5,4.2,2.4,3.3,1,1,1,1,1,1,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
